Time, Lat, Long, Course (Degs), Speed (M/Sec)
12/01/2010 12:00:00, 60.4, -0.3, 200, 6.688
12/01/2010 12:00:15, 60.399152, -0.300625, 200, 6.688
12/01/2010 12:00:30, 60.398303, -0.30125, 200, 6.688
12/01/2010 12:00:45, 60.397455, -0.301875, 200, 6.688
12/01/2010 12:01:00, 60.396607, -0.3025, 200, 6.688
12/01/2010 12:01:15, 60.395758, -0.303125, 200, 6.688
12/01/2010 12:01:30, 60.39491, -0.30375, 200, 6.688
12/01/2010 12:01:45, 60.394062, -0.304375, 200, 6.688
12/01/2010 12:02:00, 60.393213, -0.305, 200, 6.688
12/01/2010 12:02:15, 60.392365, -0.305625, 200, 6.688
12/01/2010 12:02:30, 60.391517, -0.30625, 200, 6.688
12/01/2010 12:02:45, 60.390668, -0.306875, 200, 6.688
12/01/2010 12:03:00, 60.38982, -0.3075, 200, 6.688
12/01/2010 12:03:15, 60.388972, -0.308125, 200, 6.688
12/01/2010 12:03:30, 60.388123, -0.30875, 200, 6.688
12/01/2010 12:03:45, 60.387275, -0.309375, 200, 6.688
12/01/2010 12:04:00, 60.386427, -0.31, 200, 6.688
12/01/2010 12:04:15, 60.385578, -0.310625, 200, 6.688
12/01/2010 12:04:30, 60.38473, -0.311249, 200, 6.688
12/01/2010 12:04:45, 60.383882, -0.311874, 200, 6.688
12/01/2010 12:05:00, 60.383033, -0.312499, 200, 6.688
12/01/2010 12:05:15, 60.382185, -0.313124, 200, 6.688
12/01/2010 12:05:30, 60.381337, -0.313748, 200, 6.688
12/01/2010 12:05:45, 60.380488, -0.314373, 200, 6.688
12/01/2010 12:06:00, 60.37964, -0.314998, 200, 6.688
12/01/2010 12:06:15, 60.378792, -0.315623, 200, 6.688
12/01/2010 12:06:30, 60.377943, -0.316247, 200, 6.688
12/01/2010 12:06:45, 60.377095, -0.316872, 200, 6.688
12/01/2010 12:07:00, 60.376247, -0.317497, 200, 6.688
12/01/2010 12:07:15, 60.375398, -0.318121, 200, 6.688
12/01/2010 12:07:30, 60.37455, -0.318746, 200, 6.688
12/01/2010 12:07:45, 60.373702, -0.319371, 200, 6.688
12/01/2010 12:08:00, 60.372853, -0.319995, 200, 6.688
12/01/2010 12:08:15, 60.372005, -0.32062, 200, 6.688
12/01/2010 12:08:30, 60.371157, -0.321244, 200, 6.688
12/01/2010 12:08:45, 60.370308, -0.321869, 200, 6.688
