Time, Lat, Long, Course (Degs), Speed (M/Sec)
12/01/2010 12:00:00, 60.1, 0, 5, 6.173
12/01/2010 12:00:15, 60.10083, 0.000146, 5, 6.173
12/01/2010 12:00:30, 60.10166, 0.000291, 5, 6.173
12/01/2010 12:00:45, 60.10249, 0.000437, 5, 6.173
12/01/2010 12:01:00, 60.103321, 0.000583, 5, 6.173
12/01/2010 12:01:15, 60.104151, 0.000729, 5, 6.173
12/01/2010 12:01:30, 60.104981, 0.000874, 5, 6.173
12/01/2010 12:01:45, 60.105811, 0.00102, 5, 6.173
12/01/2010 12:02:00, 60.106641, 0.001166, 5, 6.173
12/01/2010 12:02:15, 60.107471, 0.001311, 5, 6.173
12/01/2010 12:02:30, 60.108302, 0.001457, 5, 6.173
12/01/2010 12:02:45, 60.109132, 0.001603, 5, 6.173
12/01/2010 12:03:00, 60.109962, 0.001749, 5, 6.173
12/01/2010 12:03:15, 60.110792, 0.001894, 5, 6.173
12/01/2010 12:03:30, 60.111622, 0.00204, 5, 6.173
12/01/2010 12:03:45, 60.112452, 0.002186, 5, 6.173
12/01/2010 12:04:00, 60.113283, 0.002332, 5, 6.173
12/01/2010 12:04:15, 60.114113, 0.002477, 5, 6.173
12/01/2010 12:04:30, 60.114943, 0.002623, 5, 6.173
12/01/2010 12:04:45, 60.115773, 0.002769, 5, 6.173
12/01/2010 12:05:00, 60.116603, 0.002915, 5, 6.173
12/01/2010 12:05:15, 60.117433, 0.003061, 5, 6.173
12/01/2010 12:05:30, 60.118264, 0.003206, 5, 6.173
12/01/2010 12:05:45, 60.119094, 0.003352, 5, 6.173
12/01/2010 12:06:00, 60.119924, 0.003498, 5, 6.173
12/01/2010 12:06:15, 60.120754, 0.003644, 5, 6.173
12/01/2010 12:06:30, 60.121584, 0.003789, 5, 6.173
12/01/2010 12:06:45, 60.122414, 0.003935, 5, 6.173
12/01/2010 12:07:00, 60.123245, 0.004081, 5, 6.173
12/01/2010 12:07:15, 60.124075, 0.004227, 5, 6.173
12/01/2010 12:07:30, 60.124905, 0.004373, 5, 6.173
12/01/2010 12:07:45, 60.125735, 0.004518, 5, 6.173
12/01/2010 12:08:00, 60.126565, 0.004664, 5, 6.173
12/01/2010 12:08:15, 60.127395, 0.00481, 5, 6.173
12/01/2010 12:08:30, 60.128226, 0.004956, 5, 6.173
12/01/2010 12:08:45, 60.129056, 0.005102, 5, 6.173
12/01/2010 12:09:00, 60.129886, 0.005248, 5, 6.173
12/01/2010 12:09:15, 60.130716, 0.005393, 5, 6.173
12/01/2010 12:09:30, 60.131546, 0.005539, 5, 6.173
12/01/2010 12:09:45, 60.132376, 0.005685, 5, 6.173
12/01/2010 12:10:00, 60.133206, 0.005831, 5, 6.173
12/01/2010 12:10:15, 60.134037, 0.005977, 5, 6.173
12/01/2010 12:10:30, 60.134867, 0.006123, 5, 6.173
12/01/2010 12:10:45, 60.135697, 0.006269, 5, 6.173
12/01/2010 12:11:00, 60.136527, 0.006414, 5, 6.173
12/01/2010 12:11:15, 60.137357, 0.00656, 5, 6.173
12/01/2010 12:11:30, 60.138187, 0.006706, 5, 6.173
12/01/2010 12:11:45, 60.139018, 0.006852, 5, 6.173
12/01/2010 12:12:00, 60.139848, 0.006998, 5, 6.173
12/01/2010 12:12:15, 60.140678, 0.007144, 5, 6.173
12/01/2010 12:12:30, 60.141508, 0.00729, 5, 6.173
12/01/2010 12:12:45, 60.142338, 0.007435, 5, 6.173
12/01/2010 12:13:00, 60.143168, 0.007581, 5, 6.173
12/01/2010 12:13:15, 60.143999, 0.007727, 5, 6.173
12/01/2010 12:13:30, 60.144829, 0.007873, 5, 6.173
12/01/2010 12:13:45, 60.145659, 0.008019, 5, 6.173
12/01/2010 12:14:00, 60.146489, 0.008165, 5, 6.173
12/01/2010 12:14:15, 60.147319, 0.008311, 5, 6.173
12/01/2010 12:14:30, 60.148149, 0.008457, 5, 6.173
12/01/2010 12:14:45, 60.14898, 0.008603, 5, 6.173
12/01/2010 12:15:00, 60.14981, 0.008749, 5, 6.173
12/01/2010 12:15:15, 60.15064, 0.008895, 5, 6.173
12/01/2010 12:15:30, 60.15147, 0.00904, 5, 6.173
12/01/2010 12:15:45, 60.1523, 0.009186, 5, 6.173
12/01/2010 12:16:00, 60.15313, 0.009332, 5, 6.173
12/01/2010 12:16:15, 60.153961, 0.009478, 5, 6.173
12/01/2010 12:16:30, 60.154791, 0.009624, 5, 6.173
12/01/2010 12:16:45, 60.155621, 0.00977, 5, 6.173
